EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:59:42	4	0.0001	0.8696341121915306	0.23315225541591644	0.6049	0.6174	0.611	0.4873
2	18:01:28	4	0.0000	0.34558643168203845	0.15548288822174072	0.7658	0.7835	0.7745	0.6639
3	18:03:15	4	0.0000	0.2954260048223351	0.16657260060310364	0.8049	0.8116	0.8082	0.7111
4	18:05:07	4	0.0000	0.2700609324985082	0.18811720609664917	0.7532	0.8248	0.7874	0.684
5	18:06:51	4	0.0000	0.25097197428068363	0.1890903264284134	0.787	0.8306	0.8082	0.7092
6	18:08:38	4	0.0000	0.23399957212090527	0.21126127243041992	0.791	0.838	0.8138	0.7161
7	18:10:26	4	0.0000	0.22207024048589505	0.1989663988351822	0.8085	0.8372	0.8226	0.7314
8	18:12:18	4	0.0000	0.21254450137321698	0.21169887483119965	0.7941	0.8446	0.8186	0.7238
9	18:14:03	4	0.0000	0.2069678085149459	0.22066758573055267	0.8054	0.8446	0.8245	0.7342
10	18:15:56	4	0.0000	0.20004279917797235	0.2199697494506836	0.806	0.8413	0.8233	0.7334
